"","x"
"1",455500
"2",816393
"3",856211
"4",873358
"5",55437
"6",548527
"7",965816
"8",694297
"9",445077
"10",237633
"11",903177
"12",203562
"13",491873
"14",633916
"15",608464
"16",269394
"17",364081
"18",488262
"19",83794
"20",916711
"21",893031
"22",377052
"23",288099
"24",231764
"25",368560
"26",502629
"27",248263
"28",884557
"29",58721
"30",194733
"31",489297
"32",251617
"33",564827
"34",979606
"35",911451
"36",523665
"37",299267
"38",718803
"39",781217
"40",339683
"41",419887
"42",176804
"43",674987
"44",502593
"45",71594
"46",805533
"47",870496
"48",753898
"49",504058
"50",846013
"51",903506
"52",597150
"53",302707
"54",79003
"55",404120
"56",638497
"57",410969
"58",737857
"59",275146
"60",423701
"61",135916
"62",592269
"63",711837
"64",749171
"65",109579
"66",463035
"67",852845
"68",309499
"69",992927
"70",562734
"71",941400
"72",45277
"73",517846
"74",914404
"75",712837
"76",826077
"77",107597
"78",908074
"79",11937
"80",23898
"81",80003
"82",555755
"83",188456
"84",22395
"85",914434
"86",344427
"87",722481
"88",535373
"89",516168
"90",371066
"91",997353
"92",627253
"93",664480
"94",46673
"95",822034
"96",968373
"97",519704
"98",267938
"99",343469
"100",607734
